Wall time,Step,Value
1692001597.694498,0,0.6157779693603516
1692001597.984028,1,0.6062031388282776
1692001598.264951,2,0.6146157383918762
1692001598.548722,3,0.5761004686355591
1692001598.836169,4,0.6234060525894165
1692001599.118529,5,0.5475264191627502
1692001599.400678,6,0.5840018391609192
1692001599.684809,7,0.5654922127723694
1692001599.983756,8,0.5459961295127869
1692001600.2775,9,0.5855312943458557
1692001600.588197,10,0.5379051566123962
1692001600.89967,11,0.5505136847496033
1692001601.193195,12,0.5726304054260254
1692001601.487283,13,0.567033588886261
1692001601.778061,14,0.5100194215774536
1692001602.075894,15,0.528204619884491
1692001602.369545,16,0.5305110216140747
1692001602.67506,17,0.4916643798351288
1692001602.966768,18,0.5109307169914246
1692001603.264498,19,0.554668128490448
1692001603.551874,20,0.5123999714851379
1692001603.838739,21,0.5036070346832275
1692001604.124695,22,0.517277717590332
1692001604.420181,23,0.4941333830356598
1692001604.724824,24,0.48393064737319946
1692001605.023182,25,0.49339425563812256
1692001605.305865,26,0.49626612663269043
1692001605.589212,27,0.5027157664299011
1692001605.886401,28,0.5019205808639526
1692001606.170898,29,0.488593190908432
1692001606.454051,30,0.4516109526157379
1692001606.769671,31,0.4702497124671936
1692001607.056182,32,0.46494367718696594
1692001607.344288,33,0.482279509305954
1692001607.633687,34,0.4268103837966919
1692001607.919782,35,0.49860572814941406
1692001608.201044,36,0.4855816960334778
1692001608.481293,37,0.45088309049606323
1692001608.77722,38,0.4292927086353302
1692001609.05878,39,0.46394333243370056
1692001609.340225,40,0.46134230494499207
1692001609.62143,41,0.44261839985847473
1692001609.909658,42,0.42546066641807556
1692001610.193292,43,0.4640377461910248
1692001610.474531,44,0.45483240485191345
1692001610.76092,45,0.4152027666568756
1692001611.048272,46,0.41017940640449524
1692001611.333348,47,0.4420279264450073
1692001611.621208,48,0.3994673788547516
1692001611.915306,49,0.4104986786842346
1692001612.20217,50,0.41679853200912476
1692001612.484377,51,0.4213031232357025
1692001612.771296,52,0.3959951400756836
1692001613.056615,53,0.38788363337516785
1692001613.338687,54,0.40534093976020813
1692001613.624096,55,0.41317471861839294
1692001613.914073,56,0.4358988106250763
1692001614.201098,57,0.43861642479896545
1692001614.503467,58,0.4147135615348816
1692001614.797888,59,0.41206955909729004
1692001615.09492,60,0.4565238058567047
1692001615.392408,61,0.41079744696617126
1692001615.70388,62,0.4254873991012573
1692001615.996922,63,0.4159896671772003
1692001616.287375,64,0.3751257359981537
1692001616.581068,65,0.39737367630004883
1692001616.890986,66,0.3850575089454651
1692001617.178121,67,0.39755895733833313
1692001617.462341,68,0.3870236277580261
1692001617.746794,69,0.36460939049720764
1692001618.027286,70,0.40273427963256836
1692001618.309258,71,0.3766140341758728
1692001618.58865,72,0.39479056000709534
1692001618.883393,73,0.38083142042160034
1692001619.163057,74,0.4048495590686798
1692001619.443673,75,0.38906270265579224
1692001619.726153,76,0.4058157503604889
1692001620.012152,77,0.38615649938583374
1692001620.293989,78,0.36642441153526306
1692001620.577105,79,0.39459511637687683
1692001620.865835,80,0.35816219449043274
1692001621.145923,81,0.39668509364128113
1692001621.426058,82,0.38933229446411133
1692001621.708028,83,0.3684729337692261
1692001621.988066,84,0.38764554262161255
1692001622.269116,85,0.345187783241272
1692001622.549686,86,0.3587825298309326
1692001622.831689,87,0.3837389647960663
1692001623.113184,88,0.39626556634902954
1692001623.394089,89,0.36359670758247375
1692001623.67631,90,0.3587122857570648
1692001623.95711,91,0.3458329737186432
1692001624.236806,92,0.347392201423645
1692001624.515909,93,0.38861024379730225
1692001624.797924,94,0.36778101325035095
1692001625.080124,95,0.35569849610328674
1692001625.361128,96,0.3457625210285187
1692001625.647286,97,0.3870986998081207
1692001625.931036,98,0.38327306509017944
1692001626.220815,99,0.37295645475387573
1692001626.504817,100,0.38439735770225525
1692001626.793286,101,0.3910938799381256
1692001627.07406,102,0.3807787597179413
1692001627.356071,103,0.35754987597465515
1692001627.642305,104,0.33931872248649597
1692001627.924602,105,0.3281712830066681
1692001628.205607,106,0.36411944031715393
1692001628.486137,107,0.3841939866542816
1692001628.769984,108,0.38600635528564453
1692001629.050149,109,0.35507309436798096
1692001629.331605,110,0.3525404930114746
1692001629.617193,111,0.33531466126441956
1692001629.90481,112,0.3442942202091217
1692001630.184749,113,0.3459121882915497
1692001630.463899,114,0.3300507366657257
1692001630.745079,115,0.3458244502544403
1692001631.02388,116,0.31954002380371094
1692001631.304369,117,0.3719564378261566
1692001631.583449,118,0.36008453369140625
1692001631.869859,119,0.34965643286705017
1692001632.149171,120,0.34952205419540405
1692001632.430795,121,0.35171419382095337
1692001632.713734,122,0.32559430599212646
1692001632.991957,123,0.3398488461971283
1692001633.27248,124,0.36420315504074097
1692001633.551342,125,0.3585125207901001
1692001633.831489,126,0.34347423911094666
1692001634.110996,127,0.31351038813591003
1692001634.390541,128,0.3438927233219147
1692001634.674268,129,0.353685200214386
1692001634.955553,130,0.3418697118759155
1692001635.235866,131,0.36736610531806946
1692001635.51835,132,0.34148696064949036
1692001635.800713,133,0.33320748805999756
1692001636.079944,134,0.3622158467769623
1692001636.359075,135,0.36275824904441833
1692001636.641175,136,0.32517701387405396
1692001636.920045,137,0.31916627287864685
1692001637.199376,138,0.30515560507774353
1692001637.479003,139,0.3102153241634369
1692001637.761738,140,0.3425232768058777
1692001638.04284,141,0.3232216238975525
1692001638.323711,142,0.32534441351890564
1692001638.608839,143,0.31722140312194824
1692001638.898964,144,0.33630678057670593
1692001639.179754,145,0.35391852259635925
1692001639.460305,146,0.3291294574737549
1692001639.742869,147,0.32094404101371765
1692001640.02484,148,0.3105224668979645
1692001640.305777,149,0.33902284502983093
1692001640.586993,150,0.33414894342422485
1692001640.887682,151,0.31791889667510986
1692001641.170916,152,0.3322470784187317
1692001641.453624,153,0.3509375751018524
1692001641.737921,154,0.31966152787208557
1692001642.018809,155,0.30355018377304077
1692001642.299237,156,0.31370508670806885
1692001642.579875,157,0.3316591680049896
1692001642.868562,158,0.29989951848983765
1692001643.14865,159,0.31753671169281006
1692001643.428462,160,0.3217831552028656
1692001643.710384,161,0.31875860691070557
1692001643.991343,162,0.29750576615333557
1692001644.273104,163,0.3112720549106598
1692001644.559123,164,0.3046455979347229
1692001644.843117,165,0.3284408152103424
1692001645.12867,166,0.3056524097919464
1692001645.419695,167,0.3038311302661896
1692001645.725517,168,0.3111423850059509
1692001646.032867,169,0.3216269612312317
1692001646.349656,170,0.3147937059402466
1692001646.715079,171,0.3019283711910248
1692001647.033007,172,0.3232326805591583
1692001647.350281,173,0.3100252151489258
1692001647.676687,174,0.3499365448951721
1692001647.995001,175,0.2861657738685608
1692001648.363812,176,0.3266235291957855
1692001648.727563,177,0.30606940388679504
1692001649.053355,178,0.29881471395492554
1692001649.362321,179,0.32964515686035156
1692001649.667012,180,0.3004840612411499
1692001649.969355,181,0.2916423976421356
1692001650.258471,182,0.30562257766723633
1692001650.547497,183,0.28984054923057556
1692001650.837236,184,0.3149705231189728
1692001651.127799,185,0.2807425856590271
1692001651.413636,186,0.30667340755462646
1692001651.700822,187,0.2850967049598694
1692001651.983449,188,0.29238060116767883
1692001652.264289,189,0.29149341583251953
1692001652.543889,190,0.32054004073143005
1692001652.830053,191,0.2822381258010864
1692001653.114051,192,0.3087485432624817
1692001653.394498,193,0.2709627151489258
1692001653.680499,194,0.27958351373672485
1692001653.963553,195,0.29107916355133057
1692001654.244049,196,0.3123013377189636
1692001654.524547,197,0.28397077322006226
1692001654.808067,198,0.2921609580516815
1692001655.089847,199,0.2692970633506775
1692001655.371037,200,0.2824964225292206
1692001655.661188,201,0.29065704345703125
1692001655.94227,202,0.26542991399765015
1692001656.224036,203,0.2951709032058716
1692001656.510163,204,0.27889591455459595
1692001656.794234,205,0.3024756610393524
1692001657.075276,206,0.27665698528289795
1692001657.356812,207,0.2874695658683777
1692001657.640687,208,0.28693485260009766
1692001657.932252,209,0.29960039258003235
1692001658.226529,210,0.2886464297771454
1692001658.509697,211,0.29391810297966003
1692001658.797767,212,0.2607501149177551
1692001659.082036,213,0.277996689081192
1692001659.369893,214,0.27402663230895996
1692001659.657288,215,0.2770366966724396
1692001659.941094,216,0.2999420166015625
1692001660.226723,217,0.29172539710998535
1692001660.508181,218,0.2753645181655884
1692001660.791127,219,0.3033894896507263
1692001661.07346,220,0.2557220757007599
1692001661.354941,221,0.27764156460762024
1692001661.639507,222,0.28670191764831543
1692001661.920586,223,0.2745548486709595
1692001662.203673,224,0.2600077688694
1692001662.483312,225,0.26606494188308716
1692001662.768133,226,0.2858312427997589
1692001663.049039,227,0.2720341384410858
1692001663.331205,228,0.2665257155895233
1692001663.613574,229,0.2744656503200531
1692001663.902265,230,0.26475080847740173
1692001664.183162,231,0.2806370258331299
1692001664.463923,232,0.28964582085609436
1692001664.748239,233,0.26943567395210266
1692001665.030266,234,0.24872219562530518
1692001665.31087,235,0.2652929127216339
1692001665.591103,236,0.26310068368911743
1692001665.885341,237,0.24964071810245514
1692001666.165307,238,0.260776549577713
1692001666.446405,239,0.2671132981777191
1692001666.727821,240,0.26823389530181885
1692001667.008919,241,0.24972599744796753
1692001667.29444,242,0.2695004940032959
1692001667.587315,243,0.27043208479881287
1692001667.887337,244,0.2470642477273941
1692001668.167836,245,0.2590978741645813
1692001668.448466,246,0.2721084654331207
1692001668.733279,247,0.2526319622993469
1692001669.01832,248,0.265767902135849
1692001669.300956,249,0.2775006592273712
1692001669.585225,250,0.2663184106349945
1692001669.87798,251,0.2578045427799225
1692001670.157273,252,0.23768244683742523
1692001670.44007,253,0.25647202134132385
1692001670.727561,254,0.23269513249397278
1692001671.00779,255,0.23760630190372467
1692001671.289159,256,0.2524849772453308
1692001671.571659,257,0.25720444321632385
1692001671.856166,258,0.27101507782936096
1692001672.136527,259,0.27057766914367676
1692001672.417816,260,0.23109528422355652
1692001672.703774,261,0.25891461968421936
1692001672.989902,262,0.24487701058387756
1692001673.272208,263,0.23767594993114471
1692001673.555286,264,0.26475465297698975
1692001673.838651,265,0.23469087481498718
1692001674.118548,266,0.2629627585411072
1692001674.39883,267,0.24947266280651093
1692001674.683196,268,0.23525898158550262
1692001674.966087,269,0.2555187940597534
1692001675.252582,270,0.23601758480072021
1692001675.538602,271,0.25054317712783813
1692001675.825097,272,0.2405591458082199
1692001676.105899,273,0.2288937121629715
1692001676.38855,274,0.24288243055343628
1692001676.679439,275,0.2410174012184143
1692001676.964577,276,0.22854454815387726
1692001677.246894,277,0.2606181204319
1692001677.532384,278,0.25693395733833313
1692001677.817333,279,0.2422042042016983
1692001678.09847,280,0.237041175365448
1692001678.382558,281,0.2461048811674118
1692001678.666584,282,0.24657727777957916
1692001678.952339,283,0.22508126497268677
1692001679.237519,284,0.21324782073497772
1692001679.523779,285,0.21834883093833923
1692001679.811932,286,0.24708616733551025
1692001680.099091,287,0.24901174008846283
1692001680.384538,288,0.22684989869594574
1692001680.674979,289,0.23580002784729004
1692001680.957655,290,0.23227018117904663
1692001681.242763,291,0.23345772922039032
1692001681.525433,292,0.2200964391231537
1692001681.811219,293,0.21706998348236084
1692001682.092886,294,0.22386310994625092
1692001682.374012,295,0.22727259993553162
1692001682.65782,296,0.2234308272600174
1692001682.944593,297,0.21066813170909882
1692001683.224677,298,0.21075788140296936
1692001683.506344,299,0.2370653748512268
1692001683.791117,300,0.22565150260925293
1692001684.085462,301,0.22219160199165344
1692001684.366446,302,0.20191709697246552
1692001684.654417,303,0.22479528188705444
1692001684.940556,304,0.22636902332305908
1692001685.22734,305,0.20817948877811432
1692001685.508264,306,0.20467765629291534
1692001685.791014,307,0.22284744679927826
1692001686.074912,308,0.22157926857471466
1692001686.356917,309,0.22807297110557556
1692001686.643728,310,0.22997340559959412
1692001686.927863,311,0.23417240381240845
1692001687.209326,312,0.2203126698732376
1692001687.490299,313,0.21361061930656433
1692001687.77641,314,0.20348447561264038
1692001688.058129,315,0.20917294919490814
1692001688.340744,316,0.20536856353282928
1692001688.623109,317,0.20950424671173096
1692001688.910018,318,0.1962466686964035
1692001689.190455,319,0.1977946013212204
1692001689.4711,320,0.19641749560832977
1692001689.753064,321,0.2121467888355255
1692001690.036675,322,0.20892979204654694
1692001690.319068,323,0.1947917342185974
1692001690.599621,324,0.21086902916431427
1692001690.898168,325,0.22066514194011688
1692001691.184256,326,0.22068580985069275
1692001691.467523,327,0.21261104941368103
1692001691.754524,328,0.21285389363765717
1692001692.037476,329,0.2011016607284546
1692001692.324733,330,0.21244846284389496
1692001692.612498,331,0.19626182317733765
1692001692.907797,332,0.20123273134231567
1692001693.192227,333,0.1934659779071808
1692001693.479274,334,0.18634851276874542
1692001693.767158,335,0.1918843686580658
1692001694.049372,336,0.18664300441741943
1692001694.329247,337,0.18617044389247894
1692001694.614314,338,0.20626388490200043
1692001694.904609,339,0.18778593838214874
1692001695.18363,340,0.20160935819149017
1692001695.466935,341,0.21468248963356018
1692001695.753076,342,0.19393952190876007
1692001696.03534,343,0.19498592615127563
1692001696.318395,344,0.1791311800479889
1692001696.60089,345,0.22402580082416534
1692001696.900251,346,0.2087365984916687
1692001697.180938,347,0.1731790006160736
1692001697.463162,348,0.18616366386413574
1692001697.768574,349,0.17994630336761475
1692001698.072718,350,0.1826215237379074
1692001698.367573,351,0.1847137212753296
1692001698.666344,352,0.1832258403301239
1692001698.975555,353,0.19347959756851196
1692001699.267145,354,0.18666911125183105
1692001699.551715,355,0.19933460652828217
1692001699.841631,356,0.1942087560892105
1692001700.125275,357,0.1896696239709854
1692001700.407357,358,0.20347517728805542
1692001700.69026,359,0.178415447473526
1692001700.97116,360,0.1961500346660614
1692001701.252782,361,0.18607451021671295
1692001701.533427,362,0.1865624487400055
1692001701.820155,363,0.18647454679012299
1692001702.10349,364,0.17948049306869507
1692001702.385548,365,0.1887006312608719
1692001702.67077,366,0.18467335402965546
1692001702.951156,367,0.1963045448064804
1692001703.232071,368,0.175629660487175
1692001703.512119,369,0.18557144701480865
1692001703.795333,370,0.17625999450683594
1692001704.074454,371,0.17511381208896637
1692001704.355162,372,0.180434912443161
1692001704.63856,373,0.19396735727787018
1692001704.921583,374,0.17950579524040222
1692001705.201451,375,0.17876136302947998
1692001705.482965,376,0.18056906759738922
1692001705.765979,377,0.18078891932964325
1692001706.046606,378,0.16342578828334808
1692001706.326778,379,0.17159026861190796
1692001706.60981,380,0.1683053970336914
1692001706.903182,381,0.1842610388994217
1692001707.184127,382,0.1764286458492279
1692001707.464602,383,0.16813895106315613
1692001707.748091,384,0.1687352955341339
1692001708.029669,385,0.15476718544960022
1692001708.313241,386,0.15827615559101105
1692001708.597053,387,0.1856996864080429
1692001708.893221,388,0.18300852179527283
1692001709.174294,389,0.16535083949565887
1692001709.459354,390,0.1755533665418625
1692001709.755408,391,0.16891589760780334
1692001710.045861,392,0.16885943710803986
1692001710.339325,393,0.15043124556541443
1692001710.633267,394,0.15555967390537262
1692001710.918863,395,0.15783920884132385
1692001711.204903,396,0.17032770812511444
1692001711.495844,397,0.16692514717578888
1692001711.785332,398,0.1606297492980957
1692001712.070909,399,0.15961188077926636
1692001712.356044,400,0.16339197754859924
1692001712.645091,401,0.17765739560127258
1692001712.929508,402,0.16046833992004395
1692001713.213023,403,0.15456940233707428
1692001713.497617,404,0.16415762901306152
1692001713.784833,405,0.15479964017868042
1692001714.074677,406,0.16286896169185638
1692001714.366922,407,0.1641090214252472
1692001714.658489,408,0.16326850652694702
1692001714.945593,409,0.16163651645183563
1692001715.232321,410,0.13798829913139343
1692001715.520713,411,0.16040875017642975
1692001715.807464,412,0.1479736715555191
1692001716.087821,413,0.1582193672657013
1692001716.370598,414,0.15564319491386414
1692001716.657977,415,0.15342426300048828
1692001716.938431,416,0.15547947585582733
1692001717.219682,417,0.15111763775348663
1692001717.505655,418,0.1478164941072464
1692001717.791253,419,0.1459304243326187
1692001718.073623,420,0.1555330902338028
1692001718.357245,421,0.14670780301094055
1692001718.641937,422,0.14519889652729034
1692001718.925689,423,0.15844428539276123
1692001719.20814,424,0.1607946902513504
1692001719.491495,425,0.14442990720272064
1692001719.779969,426,0.13236960768699646
1692001720.061353,427,0.1391131728887558
1692001720.343758,428,0.15155933797359467
1692001720.633624,429,0.14719446003437042
1692001720.917144,430,0.1434304118156433
